path_idx	node	event	event_count	C_ancestor	C_derived	Migration	BigL	hetA	fixed	hetB	hetAB
39	3	C_derived	2	0	3	1	1	2	0	2	0
39	10	BigL	1	0	1	1	1	1	0	1	1
39	12	C_ancestor	1	3	0	0	0	1	0	1	1
39	16	C_ancestor	1	1	0	0	0	0	0	2	0
39	LCA	LCA	0	0	0	0	0	0	0	0	0
40	0	Migration	2	1	1	2	1	2	0	2	0
40	3	C_derived	2	0	3	1	1	2	0	2	0
40	10	BigL	1	0	1	1	1	1	0	1	1
40	12	C_ancestor	1	3	0	0	0	1	0	1	1
40	21	C_ancestor	1	1	0	0	0	0	0	0	2
40	LCA	LCA	0	0	0	0	0	0	0	0	0
41	0	Migration	2	1	1	2	1	2	0	2	0
41	3	C_derived	2	0	3	1	1	2	0	2	0
41	10	BigL	1	0	1	1	1	1	0	1	1
41	12	C_ancestor	1	3	0	0	0	1	0	1	1
41	19	C_ancestor	1	1	0	0	0	2	0	0	0
41	LCA	LCA	0	0	0	0	0	0	0	0	0
42	0	Migration	2	1	1	2	1	2	0	2	0
42	3	C_derived	1	0	3	1	1	2	0	2	0
42	8	C_derived	1	0	1	1	1	2	1	0	0
42	17	Migration	1	0	0	1	1	2	0	0	0
42	24	C_derived	1	0	1	0	1	2	0	0	0
42	22	BigL	1	0	0	0	1	0	0	0	0
42	LCA	LCA	0	0	0	0	0	0	0	0	0
43	0	Migration	2	1	1	2	1	2	0	2	0
43	3	C_derived	1	0	3	1	1	2	0	2	0
43	8	C_derived	1	0	1	1	1	2	1	0	0
43	17	Migration	1	0	0	1	1	2	0	0	0
43	24	BigL	1	0	1	0	1	2	0	0	0
43	19	C_ancestor	1	1	0	0	0	2	0	0	0
43	LCA	LCA	0	0	0	0	0	0	0	0	0
44	0	Migration	2	1	1	2	1	2	0	2	0
44	3	C_derived	1	0	3	1	1	2	0	2	0
44	8	C_derived	1	0	1	1	1	2	1	0	0
44	17	BigL	1	0	0	1	1	2	0	0	0
44	19	C_ancestor	1	1	0	0	0	2	0	0	0
44	LCA	LCA	0	0	0	0	0	0	0	0	0
45	0	Migration	2	1	1	2	1	2	0	2	0
45	3	C_derived	1	0	3	1	1	2	0	2	0
45	8	Migration	1	0	1	1	1	2	1	0	0
45	18	C_derived	1	0	3	0	1	2	1	0	0
45	13	C_derived	1	0	1	0	1	0	2	0	0
45	22	BigL	1	0	0	0	1	0	0	0	0
45	LCA	LCA	0	0	0	0	0	0	0	0	0
46	0	Migration	2	1	1	2	1	2	0	2	0
46	3	C_derived	1	0	3	1	1	2	0	2	0
46	8	Migration	1	0	1	1	1	2	1	0	0
46	18	C_derived	1	0	3	0	1	2	1	0	0
46	13	BigL	1	0	1	0	1	0	2	0	0
46	14	C_ancestor	1	1	0	0	0	0	2	0	0
46	LCA	LCA	0	0	0	0	0	0	0	0	0
47	0	Migration	2	1	1	2	1	2	0	2	0
47	3	C_derived	1	0	3	1	1	2	0	2	0
47	8	Migration	1	0	1	1	1	2	1	0	0
47	18	C_derived	2	0	3	0	1	2	1	0	0
47	24	C_derived	1	0	1	0	1	2	0	0	0
47	22	BigL	1	0	0	0	1	0	0	0	0
47	LCA	LCA	0	0	0	0	0	0	0	0	0
48	0	Migration	2	1	1	2	1	2	0	2	0
48	3	C_derived	1	0	3	1	1	2	0	2	0
48	8	Migration	1	0	1	1	1	2	1	0	0
