path_idx	node_id	LCA	label	event	count	C_A	C_B	M_A_B	m_2	m_4
65	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
66	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
66	11	21	A=[a1,a1,a2+a2]	M_A_B	1	3	0	3	2	1
66	14	21	A=[a1,a1];B=[a2+a2]	M_A_B	2	1	0	2	2	1
66	24	21	A=[a1];B=[a1,a2+a2]	C_B	1	0	1	1	2	1
66	20	21	A=[a1];B=[a1+a2+a2]	M_A_B	1	0	0	1	1	0
66	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
67	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
67	11	21	A=[a1,a1,a2+a2]	M_A_B	1	3	0	3	2	1
67	14	21	A=[a1,a1];B=[a2+a2]	M_A_B	2	1	0	2	2	1
67	18	21	A=[a1];B=[a1,a2+a2]	M_A_B	1	0	1	1	2	1
67	19	21	B=[a1,a1,a2+a2]	C_B	1	0	3	0	2	1
67	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
68	3	21	A=[a1,a1,a2,a2]	C_A	1	6	0	4	4	0
68	11	21	A=[a1,a1,a2+a2]	M_A_B	1	3	0	3	2	1
68	14	21	A=[a1,a1];B=[a2+a2]	M_A_B	2	1	0	2	2	1
68	18	21	A=[a1];B=[a1,a2+a2]	M_A_B	1	0	1	1	2	1
68	20	21	B=[a1,a1,a2+a2]	C_B	2	0	3	0	2	1
68	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
69	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
69	34	21	A=[a1,a2,a2];B=[a1]	C_A	2	3	0	3	4	0
69	40	21	A=[a1+a2,a2];B=[a1]	C_A	1	1	0	2	2	1
69	20	21	A=[a1+a2+a2];B=[a1]	M_A_B	1	0	0	1	1	0
69	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
70	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
70	34	21	A=[a1,a2,a2];B=[a1]	C_A	2	3	0	3	4	0
70	30	21	A=[a1+a2,a2];B=[a1]	M_A_B	1	1	0	2	2	1
70	31	21	A=[a2];B=[a1,a1+a2]	C_B	1	0	1	1	2	1
70	22	21	A=[a2];B=[a1+a1+a2]	M_A_B	1	0	0	1	1	0
70	21	21	B=[a1+a1+a2,a2]	C_B	1	0	1	0	1	0
71	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
71	34	21	A=[a1,a2,a2];B=[a1]	C_A	2	3	0	3	4	0
71	30	21	A=[a1+a2,a2];B=[a1]	M_A_B	1	1	0	2	2	1
71	17	21	A=[a2];B=[a1,a1+a2]	M_A_B	1	0	1	1	2	1
71	22	21	B=[a1,a1+a2,a2]	C_B	1	0	3	0	2	1
71	21	21	B=[a1+a1+a2,a2]	C_B	1	0	1	0	1	0
72	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
72	34	21	A=[a1,a2,a2];B=[a1]	C_A	2	3	0	3	4	0
72	30	21	A=[a1+a2,a2];B=[a1]	M_A_B	1	1	0	2	2	1
72	17	21	A=[a2];B=[a1,a1+a2]	M_A_B	1	0	1	1	2	1
72	23	21	B=[a1,a1+a2,a2]	C_B	1	0	3	0	2	1
72	21	21	B=[a1+a2,a1+a2]	C_B	1	0	1	0	0	2
73	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
73	34	21	A=[a1,a2,a2];B=[a1]	C_A	2	3	0	3	4	0
73	30	21	A=[a1+a2,a2];B=[a1]	M_A_B	1	1	0	2	2	1
73	17	21	A=[a2];B=[a1,a1+a2]	M_A_B	1	0	1	1	2	1
73	20	21	B=[a1,a1+a2,a2]	C_B	1	0	3	0	2	1
73	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
74	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
74	34	21	A=[a1,a2,a2];B=[a1]	C_A	2	3	0	3	4	0
74	26	21	A=[a1+a2,a2];B=[a1]	M_A_B	1	1	0	2	2	1
74	32	21	A=[a1+a2];B=[a1,a2]	C_B	1	0	1	1	2	1
74	23	21	A=[a1+a2];B=[a1+a2]	M_A_B	1	0	0	1	0	2
74	21	21	B=[a1+a2,a1+a2]	C_B	1	0	1	0	0	2
75	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
75	34	21	A=[a1,a2,a2];B=[a1]	C_A	2	3	0	3	4	0
75	26	21	A=[a1+a2,a2];B=[a1]	M_A_B	1	1	0	2	2	1
75	17	21	A=[a1+a2];B=[a1,a2]	M_A_B	1	0	1	1	2	1
75	22	21	B=[a1,a1+a2,a2]	C_B	1	0	3	0	2	1
75	21	21	B=[a1+a1+a2,a2]	C_B	1	0	1	0	1	0
76	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
76	34	21	A=[a1,a2,a2];B=[a1]	C_A	2	3	0	3	4	0
76	26	21	A=[a1+a2,a2];B=[a1]	M_A_B	1	1	0	2	2	1
76	17	21	A=[a1+a2];B=[a1,a2]	M_A_B	1	0	1	1	2	1
76	23	21	B=[a1,a1+a2,a2]	C_B	1	0	3	0	2	1
76	21	21	B=[a1+a2,a1+a2]	C_B	1	0	1	0	0	2
77	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
77	34	21	A=[a1,a2,a2];B=[a1]	C_A	2	3	0	3	4	0
77	26	21	A=[a1+a2,a2];B=[a1]	M_A_B	1	1	0	2	2	1
77	17	21	A=[a1+a2];B=[a1,a2]	M_A_B	1	0	1	1	2	1
77	20	21	B=[a1,a1+a2,a2]	C_B	1	0	3	0	2	1
77	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
78	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
78	35	21	A=[a1,a2,a2];B=[a1]	C_A	1	3	0	3	4	0
78	40	21	A=[a1,a2+a2];B=[a1]	C_A	1	1	0	2	2	1
78	20	21	A=[a1+a2+a2];B=[a1]	M_A_B	1	0	0	1	1	0
78	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
79	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
79	35	21	A=[a1,a2,a2];B=[a1]	C_A	1	3	0	3	4	0
79	37	21	A=[a1,a2+a2];B=[a1]	M_A_B	1	1	0	2	2	1
79	39	21	A=[a2+a2];B=[a1,a1]	C_B	1	0	1	1	2	1
79	19	21	A=[a2+a2];B=[a1+a1]	M_A_B	1	0	0	1	0	2
79	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
80	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
80	35	21	A=[a1,a2,a2];B=[a1]	C_A	1	3	0	3	4	0
80	37	21	A=[a1,a2+a2];B=[a1]	M_A_B	1	1	0	2	2	1
80	18	21	A=[a2+a2];B=[a1,a1]	M_A_B	1	0	1	1	2	1
80	19	21	B=[a1,a1,a2+a2]	C_B	1	0	3	0	2	1
80	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
81	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
81	35	21	A=[a1,a2,a2];B=[a1]	C_A	1	3	0	3	4	0
81	37	21	A=[a1,a2+a2];B=[a1]	M_A_B	1	1	0	2	2	1
81	18	21	A=[a2+a2];B=[a1,a1]	M_A_B	1	0	1	1	2	1
81	20	21	B=[a1,a1,a2+a2]	C_B	2	0	3	0	2	1
81	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
82	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
82	35	21	A=[a1,a2,a2];B=[a1]	C_A	1	3	0	3	4	0
82	14	21	A=[a1,a2+a2];B=[a1]	M_A_B	1	1	0	2	2	1
82	24	21	A=[a1];B=[a1,a2+a2]	C_B	1	0	1	1	2	1
82	20	21	A=[a1];B=[a1+a2+a2]	M_A_B	1	0	0	1	1	0
82	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
83	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
83	35	21	A=[a1,a2,a2];B=[a1]	C_A	1	3	0	3	4	0
83	14	21	A=[a1,a2+a2];B=[a1]	M_A_B	1	1	0	2	2	1
83	18	21	A=[a1];B=[a1,a2+a2]	M_A_B	1	0	1	1	2	1
83	19	21	B=[a1,a1,a2+a2]	C_B	1	0	3	0	2	1
83	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
84	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
84	35	21	A=[a1,a2,a2];B=[a1]	C_A	1	3	0	3	4	0
