path_idx	origin	label	A&B	C=A	C=A&B	a1	a1a1	a1a1a2	a1a1a2a2	a1a2	a1a2a2	a2	a2a2
4	9	A=[a1+a2,a1+a2]	0	0	0	0	0	0	0	0	0	0	0
5	9	A=[a1,a1,a2,a2]	1	6	0	2	0	0	0	0	0	2	0
5	9	A=[a1,a1+a2,a2]	1	3	0	1	0	0	0	1	0	1	0
5	9	A=[a1,a1+a2+a2]	1	1	0	1	0	0	0	0	1	0	0
5	9	A=[a1,a1+a2+a2]	0	0	0	0	0	0	0	0	0	0	0
6	9	A=[a1,a1,a2,a2]	1	6	0	2	0	0	0	0	0	2	0
6	9	A=[a1,a1,a2+a2]	1	3	0	2	0	0	0	0	0	0	1
6	9	A=[a1+a1,a2+a2]	1	1	0	0	1	0	0	0	0	0	1
6	9	A=[a1+a1,a2+a2]	0	0	0	0	0	0	0	0	0	0	0
7	9	A=[a1,a1,a2,a2]	1	6	0	2	0	0	0	0	0	2	0
7	9	A=[a1,a1,a2+a2]	1	3	0	2	0	0	0	0	0	0	1
7	9	A=[a1,a1+a2+a2]	1	1	0	1	0	0	0	0	1	0	0
7	9	A=[a1,a1+a2+a2]	0	0	0	0	0	0	0	0	0	0	0
